x,actual_count,expected_count,error
2,0,5.4961613034018315,-5.4961613034018315
7927,170,129.84557582370638,40.15442417629362
17393,318,240.88795701097166,77.11204298902834
27457,438,347.05611211132873,90.94388788867127
37831,556,449.54599949764656,106.45400050235344
48619,679,551.1896862676628,127.81031373233725
59369,801,648.8197032444698,152.1802967555302
70663,912,748.3457865275886,163.65421347241136
81817,1033,844.1637554625762,188.8362445374238
93187,1146,939.7324982165587,206.26750178344128
104743,1264,1035.0109964895896,228.98900351041038
116461,1382,1129.9733827691136,252.02661723088636
128201,1491,1223.6497325361322,267.3502674638678
139907,1603,1315.7579417646557,287.2420582353443
151717,1703,1407.5062748842593,295.49372511574074
163847,1810,1500.6258199858971,309.3741800141029
176087,1916,1593.5470640452852,322.4529359547148
187973,2020,1682.8620521845644,337.1379478154356
200191,2137,1773.8019240557385,363.1980759442615
212383,2253,1863.7336689464819,389.2663310535181
224743,2355,1954.1320893799727,400.86791062002726
237217,2462,2044.6281181611141,417.3718818388859
249449,2572,2132.6956572342165,439.30434276578353
262147,2679,2223.4561020007827,455.5438979992173
274579,2767,2311.6993457209533,455.30065427904674
287137,2873,2400.2524760989986,472.7475239010014
300043,2975,2490.680014971213,484.31998502878696
312589,3078,2578.050827042961,499.9491729570391
324953,3181,2663.6639340332035,517.3360659667965
337543,3289,2750.365090343944,538.6349096560562
350381,3398,2838.3009277840265,559.6990722159735
363271,3505,2926.1333997105467,578.8666002894533
376133,3615,3013.3357143177036,601.6642856822964
389173,3712,3101.3153762369507,610.6846237630493
401993,3823,3187.406048028942,635.5939519710578
414991,3920,3274.298337570678,645.7016624293219
427993,4025,3360.835661024642,664.1643389753581
440731,4128,3445.259128063863,682.740871936137
453907,4222,3532.2271734905316,689.7728265094684
467237,4316,3619.8537409722894,696.1462590277106
479939,4417,3703.028363891905,713.971636108095
493133,4505,3789.101160079284,715.898839920716
506147,4595,3873.6869759791434,721.3130240208566
519229,4701,3958.411491998384,742.588508001616
532349,4815,4043.0859701289896,771.9140298710104
545749,4916,4129.270518928982,786.7294810710182
559093,5017,4214.805360639871,802.1946393601293
572321,5120,4299.319643869926,820.680356130074
585503,5216,4383.273311529978,832.726688470022
598691,5328,4467.005972210203,860.9940277897967
611957,5420,4550.979217480662,869.0207825193384
625199,5520,4634.55245057705,885.44754942295
638993,5621,4721.352694627071,899.6473053729287
652447,5723,4805.767433656523,917.2325663434767
665677,5822,4888.545692207341,933.4543077926592
679279,5932,4973.418437937779,958.5815620622207
692567,6028,5056.109124107256,971.8908758927437
706033,6121,5139.688102720303,981.3118972796974
719659,6213,5224.040481925495,988.9595180745046
732943,6304,5306.06775196599,997.9322480340097
746777,6398,5391.277834038355,1006.7221659616453
760273,6498,5474.200783013506,1023.7992169864938
773609,6599,5555.945801671766,1043.0541983282337
787217,6702,5639.162601387707,1062.8373986122933
800587,6806,5720.735589916855,1085.2644100831449
814309,6895,5804.265990660076,1090.7340093399243
827737,6979,5885.823889809452,1093.1761101905477
841541,7077,5969.480718009861,1107.5192819901386
855373,7171,6053.122984126388,1117.8770158736124
868783,7265,6134.040701044457,1130.959298955543
882389,7361,6215.970587579061,1145.0294124209386
896047,7441,6298.044030801584,1142.955969198416
909691,7545,6379.866806129004,1165.1331938709964
923599,7635,6463.104562795671,1171.895437204329
937421,7733,6545.662364752227,1187.3376352477726
951193,7829,6627.760563751449,1201.239436248551
965117,7922,6710.604379016892,1211.3956209831076
978973,8014,6792.886170480418,1221.1138295195824
993121,8106,6876.7426691665805,1229.2573308334195
999983,8144,6917.357225887975,1226.642774112025
